"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"89","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","411","The method 'toCleanExecutable(String)' has a cyclomatic complexity of 5.","Design","CyclomaticComplexity"
"90","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","411","The method 'toCleanExecutable(String)' has an NPath complexity of 3, current threshold is 1","Design","NPathComplexity"
"91","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","411","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"92","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","424","The class 'Argument' has a NCSS line count of 10 (Highest = 3).","Design","NcssCount"
"93","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","424","The class 'Argument' has a total cyclomatic complexity of 3 (highest 1).","Design","CyclomaticComplexity"
"94","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","429","The constructor 'Argument(String, boolean)' has a NCSS line count of 3.","Design","NcssCount"
"95","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","429","The constructor 'Argument(String, boolean)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"96","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","429","The constructor 'Argument(String, boolean)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"97","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","435","The method 'getValue()' has a NCSS line count of 2.","Design","NcssCount"
"98","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","435","The method 'getValue()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"99","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","435","The method 'getValue()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"100","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","440","The method 'isHandleQuoting()' has a NCSS line count of 2.","Design","NcssCount"
"101","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","440","The method 'isHandleQuoting()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"102","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/CommandLine.java","3","440","The method 'isHandleQuoting()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"1","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/DaemonExecutor.java","3","25","The class 'DaemonExecutor' has a NCSS line count of 5 (Highest = 4).","Design","NcssCount"
"2","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/DaemonExecutor.java","3","25","The class 'DaemonExecutor' has a total cyclomatic complexity of 1 (highest 1).","Design","CyclomaticComplexity"
"3","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/DaemonExecutor.java","3","37","The method 'createThread(Runnable, String)' has a NCSS line count of 4.","Design","NcssCount"
"4","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/DaemonExecutor.java","3","37","The method 'createThread(Runnable, String)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"5","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/DaemonExecutor.java","3","37","The method 'createThread(Runnable, String)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"6","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/DaemonExecutor.java","3","37","Avoid long parameter lists (2 parameters - threshold is 1).","Design","ExcessiveParameterList"
"1","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/DefaultExecuteResultHandler.java","3","27","The class 'DefaultExecuteResultHandler' has a NCSS line count of 33 (Highest = 4).","Design","NcssCount"
"2","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/DefaultExecuteResultHandler.java","3","27","The class 'DefaultExecuteResultHandler' has a total cyclomatic complexity of 15 (highest 3).","Design","CyclomaticComplexity"
"3","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/DefaultExecuteResultHandler.java","3","27","This class has 8 public methods and attributes; current threshold is 1.","Design","ExcessivePublicCount"
"4","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/DefaultExecuteResultHandler.java","3","44","The constructor 'DefaultExecuteResultHandler()' has a NCSS line count of 3.","Design","NcssCount"
"5","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/DefaultExecuteResultHandler.java","3","44","The constructor 'DefaultExecuteResultHandler()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"6","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/DefaultExecuteResultHandler.java","3","44","The constructor 'DefaultExecuteResultHandler()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"7","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/DefaultExecuteResultHandler.java","3","52","The method 'onProcessComplete(int)' has a NCSS line count of 4.","Design","NcssCount"
"8","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/DefaultExecuteResultHandler.java","3","52","The method 'onProcessComplete(int)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"9","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/DefaultExecuteResultHandler.java","3","52","The method 'onProcessComplete(int)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"10","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/DefaultExecuteResultHandler.java","3","52","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"11","org.apache.commons.exec","/Users/grantnelson/go/src/github.com/apache/commons-exec/src/main/java/org/apache/commons/exec/DefaultExecuteResultHandler.java","3","61","The method 'onProcessFailed(ExecuteException)' has a NCSS line count of 4.","Design","NcssCount"
