"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"46","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","254","The method 'getChild()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"47","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","261","The method 'getParent()' has a NCSS line count of 1.","Design","NcssCount"
"48","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","261","The method 'getParent()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"49","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","261","The method 'getParent()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"50","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","267","The method 'toString()' has a NCSS line count of 2.","Design","NcssCount"
"51","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","267","The method 'toString()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"52","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractMethodRule.java","3","267","The method 'toString()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"1","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractObjectCreationFactory.java","3","29","A value of 3 may denote a high amount of coupling within the class (threshold: 1)","Design","CouplingBetweenObjects"
"2","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractObjectCreationFactory.java","3","29","The class 'AbstractObjectCreationFactory' has a NCSS line count of 7 (Highest = 2).","Design","NcssCount"
"3","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractObjectCreationFactory.java","3","29","The class 'AbstractObjectCreationFactory' has a total cyclomatic complexity of 3 (highest 1).","Design","CyclomaticComplexity"
"4","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractObjectCreationFactory.java","3","29","This class has 3 public methods and attributes; current threshold is 1.","Design","ExcessivePublicCount"
"5","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractObjectCreationFactory.java","3","49","The method 'createObject(Attributes)' has a NCSS line count of 1.","Design","NcssCount"
"6","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractObjectCreationFactory.java","3","49","The method 'createObject(Attributes)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"7","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractObjectCreationFactory.java","3","49","The method 'createObject(Attributes)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"8","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractObjectCreationFactory.java","3","49","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"9","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractObjectCreationFactory.java","3","55","The method 'getDigester()' has a NCSS line count of 2.","Design","NcssCount"
"10","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractObjectCreationFactory.java","3","55","The method 'getDigester()' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"11","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractObjectCreationFactory.java","3","55","The method 'getDigester()' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"12","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractObjectCreationFactory.java","3","63","The method 'setDigester(Digester)' has a NCSS line count of 2.","Design","NcssCount"
"13","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractObjectCreationFactory.java","3","63","The method 'setDigester(Digester)' has a cyclomatic complexity of 1.","Design","CyclomaticComplexity"
"14","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractObjectCreationFactory.java","3","63","The method 'setDigester(Digester)' has an NPath complexity of 1, current threshold is 1","Design","NPathComplexity"
"15","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractObjectCreationFactory.java","3","63","Avoid long parameter lists (1 parameters - threshold is 1).","Design","ExcessiveParameterList"
"1","org.apache.commons.digester3","/Users/grantnelson/go/src/github.com/apache/commons-digester/core/src/main/java/org/apache/commons/digester3/AbstractRulesImpl.java","3","37","A value of 2 may denote a high amount of coupling within the class (threshold: 1)","Design","CouplingBetweenObjects"
